  typed ident  ,typ, RA,DEC,l,b,     spec. type     ,avg
HD 305330      ,Be*,158.3115301,-61.42804069,287.1749063,-2.858373337,OB+e                ,nan
HD 95461       ,Em*,165.0267214,-59.36746133,289.1690164,0.4963328,B0II/III            ,nan
HD 96042       ,Em*,165.9190148,-59.43307937,289.6102983,0.622422667,B1(V)ne             ,nan
HD 306922      ,Em*,175.6628612,-61.48473911,294.8178756,0.298621132,B0                  ,nan
HD 114340      ,Em*,197.7659111,-59.74575332,305.4051747,3.031717486,B1Ia                ,nan
HD 114516      ,Em*,198.0932869,-63.81220272,305.2394649,-1.034290545,B0(Ve)              ,nan
HD 322447      ,Em*,254.075058,-40.680217,344.607422,1.59089,B3                  ,nan
HD 324248      ,Em*,266.6484293,-38.14183427,352.2232433,-4.945467851,B5                  ,nan
HD 337639      ,Em*,286.4818718,24.79408526,56.72032052,8.057909432,B2                  ,nan
HD 208220      ,Be*,328.4316516,43.48282911,92.03324558,-8.47498819,B1IVe               ,nan
HD 224055      ,Em*,358.675481,61.83889879,116.2909647,-0.299114427,B3Ia                ,nan
HD 50820       ,Be*,103.6751776,-1.756475938,214.8670449,-0.075203607,B3IVe+K2II          ,nan
HD 320156      ,Em*,264.4937707,-35.38451615,353.6684138,-2.029934158,B4Ibe               ,nan
BD+14 3887     ,Em*,290.3915723,14.88247453,49.57152723,0.250157056,B3Ibe               ,nan
HD 246901      ,Em*,86.22146704,33.52856763,175.9982327,2.260276124,B1I+K               ,nan
HD 259012      ,** ,97.8894487,4.8443608,206.3510211,-2.1961612,B1Vn+B4/A1Ve        ,nan
HD 203374      ,Be*,319.7807672,61.85841567,100.5128619,8.622271274,B0IVpe              ,nan
HD 151113      ,Be*,251.876421,-45.46052552,339.897016,-0.20982922,B2Ve                ,nan
HD 316285      ,s*b,267.0584874,-28.01475689,1.085723693,-0.013178051,B0Ieq               ,nan
